price,price_per_sqft,builtUpArea,latitude,longitude
3.822857142857143,10331.142857142857,3539.6428571428573,28.4484,77.021
0.9642857142857143,5488.857142857143,2030.4285714285713,28.351500000000005,76.9428
0.916111111111111,4280.944444444444,1908.4444444444443,28.3663,76.9456
1.6966355140186915,10603.719626168224,1555.9719626168223,28.475,76.9715
1.4949999999999999,7445.476190476191,1865.404761904762,28.4949,76.9845
1.6952380952380952,8965.190476190477,1901.2222222222222,28.4788,76.996
1.1300000000000001,10068.190476190477,1064.857142857143,28.495200000000004,77.0114
1.548421052631579,8590.631578947368,1506.0526315789473,28.5007,77.0003
0.7761016949152543,6643.050847457627,1102.7796610169491,28.5052,76.9729
1.8594545454545455,10122.654545454545,1776.1794545454545,28.5134,76.983
3.9868604651162793,12634.418604651162,2931.4418604651164,28.5073,77.0089
2.0928571428571425,11866.714285714286,1908.857142857143,28.4469,77.0106
1.3205882352941176,9013.470588235294,1194.764705882353,28.4531,77.0202
3.17,9736.941176470587,2830.8823529411766,28.5145,77.0197
2.9,11692.227272727272,2346.5954545454547,28.523799999999998,77.032
4.514782608695652,12366.478260869566,3314.882173913043,28.518900000000002,77.0183
2.465813953488372,12515.720930232557,2057.859302325581,28.528700000000004,77.0233
1.573235294117647,10178.64705882353,1733.4117647058824,28.4723,77.032
1.594,7893.8,1657.8,28.4757,77.0392
5.087142857142857,18436.14285714286,2821.157142857143,28.4711,77.0454
2.969,13494.3,1723.1,28.4621,77.0464
3.2985714285714285,18438.14285714286,1773.5714285714287,28.4791,77.0608
1.52,19869.0,105.0,28.4785,77.06
7.55,16728.0,3932.633333333333,28.4806,77.0663
2.4028571428571426,11233.047619047618,1805.111111111111,28.5095,77.032
1.0250000000000001,7641.333333333333,1252.3333333333333,28.5134,77.0723
3.429,16244.75,2072.814,28.5072,77.064
3.3430769230769233,13455.923076923076,2385.7,28.5121,77.0478
4.858333333333333,20526.833333333332,3678.0,28.4757,77.1032
6.125,28889.5,2196.0,28.4658,77.0917
3.7600000000000002,17234.166666666668,2053.9444444444443,28.4728,77.0865
0.816829268292683,7305.243902439024,1079.219512195122,28.4909,77.0176
1.568,11255.0,1339.6,28.4604,77.0579
3.534,22197.2,1572.3,28.452800000000003,77.0498
2.7479104477611944,12165.65671641791,1891.6999999999998,28.442,77.0207
0.6736363636363637,7600.090909090909,894.0,28.416,76.9914
0.9772549019607842,6041.843137254902,1493.862745098039,28.4515,76.9882
1.2715873015873016,8126.3650793650795,1546.968253968254,28.4478,76.9703
3.2299999999999995,22186.9,1750.22,28.4347,77.043
3.2840000000000003,14246.7,2919.07,28.443400000000004,77.0515
1.1539130434782607,9149.934782608696,1047.695652173913,28.473800000000004,77.0107
3.5625,22367.5,1633.5,28.4498,77.0567
2.46875,13791.0,2007.875,28.4629,77.0772
8.49875,25525.0,2897.5,28.4466,77.066
3.7954545454545454,19909.090909090908,1516.909090909091,28.4374,77.0586
2.95,14606.125,1956.625,28.4276,77.0492
6.079818181818181,18246.70909090909,3175.836727272727,28.4177,77.0359
3.072666666666667,13809.288888888888,2152.809333333333,28.4121,77.048
1.5833333333333333,9696.666666666666,1385.7777777777778,28.4794,77.0176
6.656612903225806,22327.935483870966,3080.797741935484,28.417800000000003,77.0628
1.5585714285714285,7031.857142857143,1674.142857142857,28.432,77.06859999999999
2.7142857142857144,11036.0,2411.214285714286,28.437899999999996,77.0785
5.782857142857142,20506.14285714286,2687.714285714286,28.4433,77.0948
5.334615384615384,19323.384615384617,2376.2357692307696,28.4348,77.1089
3.3816666666666664,21417.833333333332,1745.6666666666667,28.4281,77.11
1.958653846153846,10954.01923076923,1772.7692307692307,28.4245,77.0991
5.275,17329.75,2826.5,28.4232,77.0752
3.2971428571428567,17147.85714285714,1959.1485714285716,28.419999999999998,77.1105
4.875,17475.625,2799.0,28.4051,77.1097
0.67,7941.090909090909,664.7272727272727,28.4745,77.0262
3.9873333333333334,15328.266666666666,2413.8706666666667,28.4003,77.0975
2.0882926829268293,14622.121951219513,1490.149756097561,28.405,77.0963
5.65625,17382.9375,2865.126875,28.4139,77.0886
4.663571428571429,16931.285714285714,2792.9957142857143,28.3971,77.0867
2.75,16441.066666666666,1613.4566666666665,28.3923,77.0888
3.3097701149425287,15971.80459770115,2063.594252873563,28.402999999999995,77.069
5.640487804878049,19693.09756097561,2595.2756097560978,28.3925,77.0541
3.122340425531915,13337.234042553191,2042.3548936170212,28.385899999999996,77.0608
1.4185714285714286,10049.380952380952,1364.4285714285713,28.396,77.0372
1.2476666666666667,8914.466666666667,1340.0666666666666,28.385299999999997,77.0484
1.5683870967741933,9224.720430107527,1579.731182795699,28.3966,77.0341
1.6375675675675676,11566.81081081081,1182.8648648648648,28.4644,77.0143
1.6304081632653062,8740.387755102041,1732.0,28.3968,77.0233
0.9485185185185185,7717.111111111111,1223.4814814814815,28.4104,77.0281
4.163448275862069,12788.448275862069,3101.9389655172413,28.4225,77.02110000000002
6.3,16116.333333333334,4022.0,28.4072,77.0118
1.7722222222222224,11790.277777777777,1490.005,28.4158,77.0118
1.5164285714285715,9094.92857142857,1644.0714285714287,28.3935,76.9888
1.3251851851851852,7730.740740740741,1553.2222222222222,28.3801,76.9845
1.1517647058823528,6238.058823529412,1696.4705882352941,28.3733,76.9729
1.3844736842105263,8507.03947368421,1516.2631578947369,28.362400000000004,76.9787
0.71375,8905.0,966.25,28.3738,76.897
1.27,7498.2,1632.8,28.3659,76.9557
1.9245977011494253,9317.218390804597,1846.7241379310344,28.386700000000005,76.9485
2.072,9114.025,1950.875,28.3935,76.96
2.218888888888889,10266.222222222223,2204.963333333333,28.3858,76.9686
1.2632352941176472,7637.014705882353,1536.2205882352941,28.3986,76.9647
0.9677551020408164,6374.571428571428,1425.857142857143,28.3979,76.9736
1.4907476635514019,7879.121495327103,1819.0093457943926,28.404200000000003,76.9513
1.1682258064516131,7637.5,1459.9193548387098,28.3986,76.9384
1.3268181818181817,8340.863636363636,1394.6986363636363,28.4347,76.9557
0.9800000000000001,7441.0,1333.3333333333333,28.444599999999998,76.9542
1.1017543859649122,8563.228070175439,1334.280701754386,28.4253,76.9439
1.3949999999999998,10419.0,1124.1666666666667,28.4603,77.0
1.205681818181818,6393.090909090909,1749.1022727272727,28.4085,76.9369
1.595,7619.3125,1942.875,28.4014,76.9225
0.9348484848484848,5939.595959595959,1570.959595959596,28.4079,76.9153
0.8488888888888888,8010.555555555556,1016.6666666666666,28.4153,76.9326
0.4846296296296297,5594.037037037037,1006.8888888888889,28.4172,76.9081
1.4883333333333333,6797.75,1802.6666666666667,28.464,76.9614
0.8160000000000001,6257.133333333333,1188.8333333333333,28.4561,76.9542
